Product,menu_item,Fast Food Chain,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Carbohydrates,Fiber,Sugars,Protein
Butterfinger Pieces  MediumLarge Blizzard,Local Favorites,Dairy Queen,170,7.0,3.5,0.0,0,90,24,1.0,14.0,3
Butterfinger Pieces  MiniSmall Blizzard,Local Favorites,Dairy Queen,80,3.5,1.5,0.0,0,45,12,1.0,7.0,2
Caramel Topping  MiniSmall Blizzard,Local Favorites,Dairy Queen,45,0.5,0.0,0.0,0,25,10,0.0,7.0,0
Caramel Topping  Sundae Shake Malt Moolatte MediumLarge Blizzard,Local Favorites,Dairy Queen,90,1.0,0.5,0.0,5,45,20,0.0,14.0,1
Cheesecake Pieces  MediumLarge Blizzard,Local Favorites,Dairy Queen,100,6.0,3.5,0.0,25,85,9,0.0,6.0,2
Cheesecake Pieces  MiniSmall Blizzard,Local Favorites,Dairy Queen,50,3.0,2.0,0.0,15,40,5,0.0,3.0,1
Chili Dog Sauce,Local Favorites,Dairy Queen,40,2.5,1.0,0.0,5,160,2,0.0,1.0,2
Choco Chunks  MediumLarge Blizzard,Local Favorites,Dairy Queen,70,4.5,4.0,0.0,0,0,9,1.0,7.0,1
Choco Chunks  MiniSmall Blizzard,Local Favorites,Dairy Queen,35,2.5,2.0,0.0,0,0,4,0.0,4.0,0
ChocolateTopping  MiniSmall Blizzard,Local Favorites,Dairy Queen,50,0.0,0.0,0.0,0,15,12,0.0,11.0,0
ChocolateTopping  Sundae Shake Malt MediumLarge Blizzard,Local Favorites,Dairy Queen,90,0.0,0.0,0.0,0,30,22,1.0,20.0,0
Cookie Dough Pieces  MediumLarge Blizzard,Local Favorites,Dairy Queen,290,14.0,6.0,0.0,5,210,42,1.0,24.0,2
Cookie Dough Pieces  MiniSmall Blizzard,Local Favorites,Dairy Queen,150,7.0,3.0,0.0,0,105,21,0.0,12.0,1
Diced Tomato,Local Favorites,Dairy Queen,5,0.0,0.0,0.0,0,0,1,0.0,1.0,0
Fudge  MediumLarge Blizzard,Local Favorites,Dairy Queen,100,4.0,4.0,0.0,0,50,15,1.0,13.0,1
Fudge  MiniSmall Blizzard,Local Favorites,Dairy Queen,50,2.0,2.0,0.0,0,25,7,0.0,7.0,0
Jalapeno Bacon,Local Favorites,Dairy Queen,20,2.0,0.5,,5,50,0,0.0,0.0,1
Ketchup  Better Burger,Local Favorites,Dairy Queen,10,0.0,0.0,0.0,0,85,3,0.0,2.0,0
Lettuce,Local Favorites,Dairy Queen,5,0.0,0.0,0.0,0,0,1,0.0,0.0,0
MMs Candies  MediumLarge Blizzard,Local Favorites,Dairy Queen,180,7.0,4.5,0.0,5,25,27,1.0,24.0,2
MMs Candies  MiniSmall Blizzard,Local Favorites,Dairy Queen,90,3.5,2.0,0.0,0,15,14,0.0,12.0,1
Mayo,Local Favorites,Dairy Queen,110,12.0,2.0,0.0,10,65,0,0.0,0.0,0
OREO Cookie Pieces  MediumLarge Blizzard,Local Favorites,Dairy Queen,180,9.0,3.0,0.0,0,115,27,1.0,17.0,1
OREO Cookie Pieces  MiniSmall Blizzard,Local Favorites,Dairy Queen,120,6.0,2.0,0.0,0,75,18,0.0,11.0,1
Peanut Butter Topping  MiniSmall Blizzard,Local Favorites,Dairy Queen,45,4.0,0.5,0.0,0,45,2,0.0,1.0,1
Peanut Butter Topping  Sundae Shake Malt MediumLarge Blizzard,Local Favorites,Dairy Queen,120,10.0,1.5,0.0,0,115,6,1.0,2.0,2
Pineapple Topping  Sundae,Local Favorites,Dairy Queen,30,0.0,0.0,0.0,0,0,7,0.0,7.0,0
Ranch,Local Favorites,Dairy Queen,50,5.0,1.0,0.0,5,95,1,0.0,0.0,0
Reeses Peanut Butter Cup Pieces  MediumLarge Blizzard,Local Favorites,Dairy Queen,180,10.0,3.5,0.0,5,125,20,1.0,18.0,4
Reeses Peanut Butter Cup Pieces  MiniSmall Blizzard,Local Favorites,Dairy Queen,90,5.0,2.0,0.0,0,60,10,1.0,9.0,2
Shredded Cheese,Local Favorites,Dairy Queen,60,4.5,2.5,0.0,15,85,1,0.0,0.0,3
Strawberry Topping  MiniSmall Blizzard,Local Favorites,Dairy Queen,25,0.0,0.0,0.0,0,10,7,0.0,6.0,0
Strawberry Topping  Sundae Shake Malt MediumLarge Blizzard,Local Favorites,Dairy Queen,60,0.0,0.0,0.0,0,15,14,1.0,13.0,0
Swiss Cheese,Local Favorites,Dairy Queen,60,4.5,3.0,0.0,15,30,0,0.0,0.0,4
Vanilla Syrup  Shake Malt MooLatte,Local Favorites,Dairy Queen,25,0.0,0.0,0.0,0,0,6,0.0,6.0,0
Yellow Mustard,Local Favorites,Dairy Queen,5,0.0,0.0,0.0,0,85,0,0.0,0.0,0
Butterfinger Blizzard  Large,BlizzardTreats,Dairy Queen,1060,37.0,22.0,1.0,85,480,155,2.0,119.0,27
Butterfinger Blizzard  Medium,BlizzardTreats,Dairy Queen,800,28.0,17.0,1.0,65,360,118,2.0,91.0,20
Butterfinger Blizzard  Mini,BlizzardTreats,Dairy Queen,350,12.0,7.0,0.0,30,150,52,1.0,41.0,9
Butterfinger Blizzard  Small,BlizzardTreats,Dairy Queen,590,21.0,12.0,0.5,50,270,87,1.0,68.0,15
Choco Brownie Extreme Blizzard  Large,BlizzardTreats,Dairy Queen,1330,60.0,33.0,1.5,85,620,184,7.0,142.0,26
Choco Brownie Extreme Blizzard  Medium,BlizzardTreats,Dairy Queen,980,43.0,25.0,1.0,70,460,137,5.0,106.0,20
Choco Brownie Extreme Blizzard  Mini,BlizzardTreats,Dairy Queen,420,18.0,10.0,0.0,30,190,58,2.0,46.0,9
Choco Brownie Extreme Blizzard  Small,BlizzardTreats,Dairy Queen,740,33.0,18.0,1.0,50,340,103,4.0,81.0,15
Chocolate Chip Cookie Dough Blizzard  Large,BlizzardTreats,Dairy Queen,1370,54.0,33.0,1.5,80,740,201,3.0,151.0,23
Chocolate Chip Cookie Dough Blizzard  Medium,BlizzardTreats,Dairy Queen,1030,40.0,24.0,1.0,60,550,151,2.0,113.0,18
Chocolate Chip Cookie Dough Blizzard  Mini,BlizzardTreats,Dairy Queen,410,16.0,9.0,0.0,30,210,60,1.0,46.0,8
Chocolate Chip Cookie Dough Blizzard  Small,BlizzardTreats,Dairy Queen,710,27.0,16.0,0.5,45,380,104,1.0,78.0,13
Heath Blizzard  Large,BlizzardTreats,Dairy Queen,1190,49.0,32.0,1.5,90,590,168,2.0,148.0,23
Heath Blizzard  Medium,BlizzardTreats,Dairy Queen,880,37.0,24.0,1.0,70,430,124,1.0,110.0,17
Heath Blizzard  Mini,BlizzardTreats,Dairy Queen,360,14.0,9.0,0.0,30,170,52,0.0,45.0,8
Heath Blizzard  Small,BlizzardTreats,Dairy Queen,640,26.0,16.0,1.0,55,310,91,1.0,79.0,13
MMs Chocolate Candy Blizzard  Large,BlizzardTreats,Dairy Queen,1160,38.0,24.0,1.0,85,380,183,3.0,159.0,23
MMs Chocolate Candy Blizzard  Medium,BlizzardTreats,Dairy Queen,880,29.0,18.0,1.0,65,290,135,2.0,117.0,18
MMs Chocolate Candy Blizzard  Small,BlizzardTreats,Dairy Queen,660,21.0,13.0,0.5,50,220,103,1.0,89.0,14
MMs Chocolate Candy Blizzard Mini,BlizzardTreats,Dairy Queen,370,12.0,8.0,0.0,30,125,58,1.0,50.0,8
OREO Cookie Blizzard  Large,BlizzardTreats,Dairy Queen,1050,39.0,20.0,1.5,80,500,156,1.0,121.0,22
OREO Cookie Blizzard  Medium,BlizzardTreats,Dairy Queen,820,30.0,16.0,1.0,65,390,121,1.0,94.0,17
OREO Cookie Blizzard  Mini,BlizzardTreats,Dairy Queen,330,12.0,6.0,0.0,30,150,48,0.0,39.0,7
OREO Cookie Blizzard  Small,BlizzardTreats,Dairy Queen,600,22.0,12.0,1.0,50,280,89,1.0,70.0,13
Reeses Peanut Butter Cups Blizzard  Large,BlizzardTreats,Dairy Queen,1080,45.0,23.0,1.5,85,550,148,3.0,128.0,28
Reeses Peanut Butter Cups Blizzard  Medium,BlizzardTreats,Dairy Queen,820,34.0,17.0,1.0,65,410,113,2.0,97.0,21
Reeses Peanut Butter Cups Blizzard  Mini,BlizzardTreats,Dairy Queen,360,14.0,7.0,0.0,30,170,50,1.0,43.0,9
Reeses Peanut Butter Cups Blizzard  Small,BlizzardTreats,Dairy Queen,610,24.0,13.0,1.0,50,300,84,1.0,72.0,16
Royal New York Cheesecake Blizzard Filled with Strawberry  Large,BlizzardTreats,Dairy Queen,1320,60.0,28.0,2.0,135,690,171,2.0,135.0,25
Royal New York Cheesecake Blizzard Filled with Strawberry  Medium,BlizzardTreats,Dairy Queen,1040,46.0,21.0,1.5,105,530,140,2.0,112.0,19
Royal New York Cheesecake Blizzard Filled with Strawberry  Mini,BlizzardTreats,Dairy Queen,450,18.0,8.0,0.5,40,220,65,1.0,53.0,8
Royal New York Cheesecake Blizzard Filled with Strawberry  Small,BlizzardTreats,Dairy Queen,750,32.0,15.0,1.0,75,380,102,2.0,82.0,14
Royal Ultimate Choco Brownie Blizzard Filled with Fudge  Large,BlizzardTreats,Dairy Queen,1340,60.0,36.0,1.0,80,620,186,8.0,148.0,25
Royal Ultimate Choco Brownie Blizzard Filled with Fudge  Medium,BlizzardTreats,Dairy Queen,1040,45.0,29.0,1.0,65,480,146,5.0,117.0,19
Royal Ultimate Choco Brownie Blizzard Filled with Fudge  Mini,BlizzardTreats,Dairy Queen,480,21.0,13.0,0.0,30,220,68,2.0,55.0,9
Royal Ultimate Choco Brownie Blizzard Filled with Fudge  Small,BlizzardTreats,Dairy Queen,770,34.0,20.0,0.5,45,350,107,4.0,86.0,14
Snickers Blizzard  Large,BlizzardTreats,Dairy Queen,1060,36.0,20.0,1.0,80,450,162,2.0,138.0,24
Snickers Blizzard  Medium,BlizzardTreats,Dairy Queen,800,28.0,15.0,1.0,65,340,120,1.0,102.0,19
Snickers Blizzard  Mini,BlizzardTreats,Dairy Queen,350,12.0,7.0,0.0,30,150,53,0.0,45.0,8
Snickers Blizzard  Small,BlizzardTreats,Dairy Queen,610,20.0,11.0,0.5,50,260,92,1.0,78.0,14
Turtle Pecan Cluster Blizzard  Large,BlizzardTreats,Dairy Queen,1370,71.0,41.0,1.5,85,510,165,4.0,132.0,24
Turtle Pecan Cluster Blizzard  Medium,BlizzardTreats,Dairy Queen,1020,52.0,29.0,1.0,65,390,123,3.0,99.0,18
Turtle Pecan Cluster Blizzard  Mini,BlizzardTreats,Dairy Queen,430,22.0,14.0,0.0,30,160,51,1.0,42.0,8
Turtle Pecan Cluster Blizzard  Small,BlizzardTreats,Dairy Queen,680,34.0,18.0,0.5,50,270,84,2.0,68.0,14
Banana Shake  Large,Shakes,Dairy Queen,750,27.0,19.0,1.5,75,310,109,2.0,88.0,21
Banana Shake  Medium,Shakes,Dairy Queen,590,22.0,16.0,1.0,55,240,83,1.0,68.0,16
Banana Shake  Small,Shakes,Dairy Queen,470,19.0,13.0,1.0,45,190,64,1.0,53.0,13
Caramel Shake  Large,Shakes,Dairy Queen,980,31.0,21.0,1.5,85,450,154,0.0,124.0,22
Caramel Shake  Medium,Shakes,Dairy Queen,750,25.0,17.0,1.5,65,330,115,0.0,93.0,17
Caramel Shake  Small,Shakes,Dairy Queen,550,20.0,14.0,1.0,50,240,79,0.0,65.0,13
Chocolate Shake  Large,Shakes,Dairy Queen,920,28.0,19.0,1.5,75,390,147,2.0,128.0,21
Chocolate Shake  Medium,Shakes,Dairy Queen,710,23.0,16.0,1.0,60,290,110,1.0,96.0,16
Chocolate Shake  Small,Shakes,Dairy Queen,530,19.0,14.0,1.0,45,220,77,1.0,67.0,13
Hot Fudge Shake  Large,Shakes,Dairy Queen,990,38.0,29.0,1.5,75,440,140,1.0,112.0,23
Hot Fudge Shake  Medium,Shakes,Dairy Queen,750,30.0,23.0,1.5,60,330,105,1.0,85.0,17
Hot Fudge Shake  Small,Shakes,Dairy Queen,550,22.0,17.0,1.0,45,240,75,0.0,61.0,13
Make It A Malt Adds  Large,Shakes,Dairy Queen,110,1.0,1.0,0.0,5,105,23,1.0,16.0,2
Make It A Malt Adds  Medium,Shakes,Dairy Queen,80,1.0,0.5,0.0,5,80,18,1.0,12.0,1
Make It A Malt Adds  Small,Shakes,Dairy Queen,60,0.5,0.0,0.0,0,50,12,0.0,8.0,1
Peanut Butter Shake  Large,Shakes,Dairy Queen,1250,72.0,26.0,1.5,75,830,119,4.0,89.0,30
Peanut Butter Shake  Medium,Shakes,Dairy Queen,930,53.0,20.0,1.0,60,590,91,3.0,69.0,22
Peanut Butter Shake  Small,Shakes,Dairy Queen,640,34.0,16.0,1.0,45,370,67,1.0,54.0,16
Strawberry Shake  Large,Shakes,Dairy Queen,800,27.0,19.0,1.5,75,340,120,1.0,105.0,21
Strawberry Shake  Medium,Shakes,Dairy Queen,630,23.0,16.0,1.0,60,260,92,1.0,80.0,16
Strawberry Shake  Small,Shakes,Dairy Queen,490,19.0,14.0,1.0,45,200,68,0.0,59.0,13
Vanilla Shake  Large,Shakes,Dairy Queen,860,29.0,20.0,1.5,80,340,127,0.0,112.0,22
Vanilla Shake  Medium,Shakes,Dairy Queen,660,23.0,16.0,1.0,60,260,97,0.0,85.0,16
Vanilla Shake  Small,Shakes,Dairy Queen,520,19.0,14.0,1.0,50,200,73,0.0,65.0,13
Caramel MooLatte  Large,MooLattéFrozen Beverages,Dairy Queen,780,21.0,15.0,1.0,50,320,135,0.0,113.0,13
Caramel MooLatte  Medium,MooLattéFrozen Beverages,Dairy Queen,620,18.0,13.0,1.0,40,240,103,0.0,87.0,10
Caramel MooLatte  Small,MooLattéFrozen Beverages,Dairy Queen,490,15.0,11.0,1.0,30,190,81,0.0,69.0,8
Mocha MooLatte  Large,MooLattéFrozen Beverages,Dairy Queen,780,29.0,16.0,1.0,50,310,121,2.0,106.0,14
Mocha MooLatte  Medium,MooLattéFrozen Beverages,Dairy Queen,620,23.0,14.0,1.0,40,240,94,2.0,82.0,11
Mocha MooLatte  Small,MooLattéFrozen Beverages,Dairy Queen,500,18.0,12.0,1.0,30,180,76,1.0,67.0,9
Vanilla MooLatte  Large,MooLattéFrozen Beverages,Dairy Queen,700,19.0,14.0,1.0,45,240,121,0.0,109.0,12
Vanilla MooLatte  Medium,MooLattéFrozen Beverages,Dairy Queen,560,17.0,12.0,1.0,35,190,93,0.0,84.0,9
Vanilla MooLatte  Small,MooLattéFrozen Beverages,Dairy Queen,450,14.0,11.0,1.0,30,150,74,0.0,67.0,7
Mango Misty Freeze  Extra Large,Misty Slush,Dairy Queen,890,22.0,14.0,1.0,75,300,158,0.0,138.0,18
Mango Misty Freeze  Large,Misty Slush,Dairy Queen,640,15.0,10.0,1.0,50,210,115,0.0,101.0,12
Mango Misty Freeze  Medium,Misty Slush,Dairy Queen,490,12.0,8.0,0.5,40,170,86,0.0,75.0,10
Mango Misty Freeze  Small,Misty Slush,Dairy Queen,390,10.0,6.0,0.0,30,130,69,0.0,60.0,8
Mango Misty Slush  Extra Large,Misty Slush,Dairy Queen,550,0.0,0.0,0.0,0,80,138,0.0,133.0,0
Mango Misty Slush  Large,Misty Slush,Dairy Queen,390,0.0,0.0,0.0,0,60,99,0.0,95.0,0
Mango Misty Slush  Medium,Misty Slush,Dairy Queen,290,0.0,0.0,0.0,0,45,74,0.0,71.0,0
Mango Misty Slush  Small,Misty Slush,Dairy Queen,230,0.0,0.0,0.0,0,35,57,0.0,55.0,0
Misty Freeze  Large,Misty Slush,Dairy Queen,590,15.0,10.0,1.0,50,210,102,0.0,90.0,12
Misty Freeze  Medium,Misty Slush,Dairy Queen,450,12.0,8.0,0.5,40,160,77,0.0,68.0,10
Misty Freeze  Small,Misty Slush,Dairy Queen,360,10.0,6.0,0.0,30,130,62,0.0,55.0,8
Misty Slush  Large,Misty Slush,Dairy Queen,340,0.0,0.0,0.0,0,55,86,0.0,85.0,0
Misty Slush  Medium,Misty Slush,Dairy Queen,260,0.0,0.0,0.0,0,40,65,0.0,64.0,0
Misty Slush  Small,Misty Slush,Dairy Queen,200,0.0,0.0,0.0,0,35,50,0.0,50.0,0
Banana Split,Curl on Top Treats,Dairy Queen,520,14.0,9.0,0.5,30,150,94,4.0,74.0,9
Brownie and OREO Cupfection,Curl on Top Treats,Dairy Queen,720,23.0,9.0,0.5,55,330,122,2.0,96.0,10
Peanut Buster Parfait,Curl on Top Treats,Dairy Queen,710,31.0,18.0,0.5,35,340,95,3.0,68.0,17
Add DQ Sprinkles,Sundaes,Dairy Queen,35,1.5,1.0,0.0,0,0,6,0.0,3.0,0
Caramel Sundae  Large,Sundaes,Dairy Queen,600,16.0,10.0,1.0,55,260,102,0.0,81.0,12
Caramel Sundae  Medium,Sundaes,Dairy Queen,430,11.0,7.0,0.5,35,190,73,0.0,58.0,9
Caramel Sundae  Small,Sundaes,Dairy Queen,300,8.0,5.0,0.0,25,130,50,0.0,40.0,6
Cherry Sundae  Large,Sundaes,Dairy Queen,510,14.0,9.0,0.5,45,200,86,1.0,73.0,12
Cherry Sundae  Medium,Sundaes,Dairy Queen,360,9.0,6.0,0.0,30,135,61,0.0,52.0,8
Cherry Sundae  Small,Sundaes,Dairy Queen,250,7.0,4.5,0.0,25,95,42,0.0,36.0,6
Chocolate Sundae  Large,Sundaes,Dairy Queen,560,14.0,9.0,0.5,45,220,97,1.0,84.0,12
Chocolate Sundae  Medium,Sundaes,Dairy Queen,400,10.0,6.0,0.0,30,160,70,1.0,60.0,8
Chocolate Sundae  Small,Sundaes,Dairy Queen,270,7.0,4.5,0.0,25,110,48,1.0,41.0,6
Hot Fudge Sundae  Large,Sundaes,Dairy Queen,610,21.0,16.0,1.0,50,260,93,1.0,73.0,13
Hot Fudge Sundae  Medium,Sundaes,Dairy Queen,430,15.0,11.0,0.5,35,190,66,1.0,52.0,9
Hot Fudge Sundae  Small,Sundaes,Dairy Queen,300,10.0,8.0,0.0,25,125,46,0.0,36.0,6
Peanut Butter Sundae  Large,Sundaes,Dairy Queen,780,44.0,13.0,0.5,45,520,79,3.0,58.0,18
Peanut Butter Sundae  Medium,Sundaes,Dairy Queen,560,32.0,10.0,0.0,30,380,56,2.0,40.0,13
Peanut Butter Sundae  Small,Sundaes,Dairy Queen,380,22.0,7.0,0.0,25,260,39,1.0,28.0,9
Pineapple Sundae  Large,Sundaes,Dairy Queen,480,14.0,9.0,0.5,45,170,77,1.0,67.0,12
Pineapple Sundae  Medium,Sundaes,Dairy Queen,330,10.0,6.0,0.0,30,120,54,1.0,47.0,8
Pineapple Sundae  Small,Sundaes,Dairy Queen,230,7.0,4.5,0.0,25,85,38,0.0,33.0,6
Strawberry Sundae  Large,Sundaes,Dairy Queen,490,14.0,9.0,0.5,45,190,80,1.0,69.0,12
Strawberry Sundae  Medium,Sundaes,Dairy Queen,340,10.0,6.0,0.0,30,135,56,1.0,49.0,8
Strawberry Sundae  Small,Sundaes,Dairy Queen,240,7.0,4.5,0.0,25,95,39,0.0,34.0,6
Chocolate Cone  Kids,Cones,Dairy Queen,160,5.0,3.0,0.0,15,60,25,0.0,17.0,4
Chocolate Cone  Large,Cones,Dairy Queen,480,15.0,9.0,0.5,45,190,73,0.0,50.0,12
Chocolate Cone  Medium,Cones,Dairy Queen,340,10.0,6.0,0.0,30,130,52,0.0,35.0,8
Chocolate Cone  Small,Cones,Dairy Queen,240,7.0,4.5,0.0,25,90,36,0.0,25.0,6
Dipped Cone Cherry  Kids,Cones,Dairy Queen,210,9.0,7.0,0.0,15,65,28,0.0,20.0,4
Dipped Cone Cherry  Large,Cones,Dairy Queen,550,22.0,16.0,0.5,45,190,76,0.0,57.0,12
Dipped Cone Cherry  Medium,Cones,Dairy Queen,460,22.0,18.0,0.0,30,140,58,0.0,44.0,8
Dipped Cone Cherry  Small,Cones,Dairy Queen,320,15.0,12.0,0.0,25,95,40,0.0,31.0,6
Dipped Cone Chocolate  Kids,Cones,Dairy Queen,200,9.0,7.0,0.0,15,65,28,0.0,20.0,4
Dipped Cone Chocolate  Large,Cones,Dairy Queen,640,30.0,23.0,0.5,45,200,81,1.0,60.0,13
Dipped Cone Chocolate  Medium,Cones,Dairy Queen,460,22.0,17.0,0.0,30,140,58,1.0,43.0,9
Dipped Cone Chocolate  Small,Cones,Dairy Queen,320,15.0,12.0,0.0,25,95,40,1.0,30.0,6
Vanilla Cone  Kids,Cones,Dairy Queen,160,4.5,3.0,0.0,15,65,25,0.0,18.0,4
Vanilla Cone  Large,Cones,Dairy Queen,450,14.0,9.0,0.5,45,180,71,0.0,52.0,12
Vanilla Cone  Medium,Cones,Dairy Queen,320,10.0,6.0,0.0,30,130,50,0.0,36.0,8
Vanilla Cone  Small,Cones,Dairy Queen,220,7.0,4.5,0.0,25,90,34,0.0,26.0,6
AO23  Sheet Cake Multi Color Icing Quins and Streamers  RTD,DQ Cakes,Dairy Queen,8850,354.0,265.0,6.0,625,4870,1311,49.0,969.0,173
AO23  Sheet Cake Multi Color Icing Quins and Streamers  Store Made,DQ Cakes,Dairy Queen,8480,339.0,256.0,8.0,495,3820,1206,23.0,930.0,154
AO5a  10 Dots Blue Orange Yellow Green Icing  RTD,DQ Cakes,Dairy Queen,5840,236.0,178.0,4.5,460,3150,885,30.0,646.0,120
AO5a  10 Dots Blue Orange Yellow Green Icing  Store Made,DQ Cakes,Dairy Queen,5570,223.0,169.0,6.0,365,2410,812,12.0,618.0,106
AO5a  8 Dots Blue Orange Yellow Green Icing  RTD,DQ Cakes,Dairy Queen,3920,161.0,123.0,3.0,300,2090,595,20.0,431.0,78
AO5a  8 Dots Blue Orange Yellow Green Icing  Store Made,DQ Cakes,Dairy Queen,3760,153.0,118.0,4.0,240,1610,549,8.0,415.0,70
Buster Bar 6 Pack  Manufactured,Novelties,Dairy Queen,2850,177.0,107.0,1.0,95,1090,274,18.0,223.0,61
Buster Bar 6 Pack  Store Made,Novelties,Dairy Queen,2650,161.0,95.0,1.5,90,1160,255,18.0,201.0,63
Dilly Bar 6 Pack  Manufactured,Novelties,Dairy Queen,1340,74.0,61.0,1.0,85,340,153,4.0,127.0,20
Dilly Bar 6 Pack  Store Made,Novelties,Dairy Queen,1210,71.0,59.0,1.0,75,300,128,3.0,108.0,19
DQ Sandwich  6 Pack,Novelties,Dairy Queen,1100,31.0,18.0,1.0,65,780,182,3.0,104.0,23
Mango Pineapple Smoothie  Large,Premium Fruit Smoothies,Dairy Queen,420,0.0,0.0,0.0,0,180,96,1.0,92.0,8
Mango Pineapple Smoothie  Medium,Premium Fruit Smoothies,Dairy Queen,330,0.0,0.0,0.0,0,135,77,1.0,74.0,6
Mango Pineapple Smoothie  Small,Premium Fruit Smoothies,Dairy Queen,250,0.0,0.0,0.0,0,90,59,1.0,56.0,4
Mango Pineapple Smoothie  XLarge,Premium Fruit Smoothies,Dairy Queen,590,0.0,0.0,0.0,0,230,136,1.0,130.0,10
